Popup;Enlarge;Panel
12.48846;12.87506;12.93707
12.48486;12.87506;12.92532
12.48134;12.85884;12.9143
12.47779;12.84814;12.89291
12.47356;12835;12.89291
12.4687;12.82171;12.88313
12.46291;12.81201;12.8744
12.45662;12.79691;12.86523
12.45;12.78188;12.84513
12.43583;12.7455;12.84513
12.42813;12.7455;12.83588
12.42813;12.73154;12.82759
12.42068;12.71883;12.8188
12.40674;12.70648;12.80975
12.40674;12.6945;12.77877
12.39495;12.65959;12.77877
12.39495;12.65959;12.76696
12.38939;12.6488;12.75403
12.38418;12.63896;12.74131
12.37936;12.62944;12.74131
12.37519;12.61856;12.72765
12.36492;12.6102;12.68397
12.36275;12.60169;12.66872
12.36275;12.60169;12.66872
12.36107;12.58274;12.65219
12.36103;12.5735;12.63724
12.35921;12.56347;12.62153
12.35805;12.5567;12.60744
12.35805;12.55076;12.59435
12.35887;12.55076;12.58105
12.35756;12.54304;12.5687
12.35748;12.53658;12.55698
12.35363;12.52972;12.53714
12.3515;12.51165;12.52844
12.3515;12.5072;12.52844
12.34956;12.5072;12.52158
12.34774;12.50335;12.5136
12.34425;12.49674;12.50136
12.34354;12.49283;12.50136
12.34354;12.49283;12.49519
12.34312;12.48422;12.49125
12.34297;12.48166;12.48678
12.34324;12.48166;12.48171
12.34433;12.47773;12.47169
12.34433;12.47686;12.47169
12.34501;12.47591;12.46851
12.34545;12.47488;12.46494
12.34547;12.47488;12.46132
12.34592;12.47319;12.4577
12.34642;12.47136;12.45466
12.34642;12.47061;12.44559
12.34699;12.47028;12.44559
12.34911;12.47013;12.44442
12.34911;12.47013;12.44251
12.3507;12.46954;12.44042
12.35133;12469;12.43838
12.35155;12.46856;12.43838
12.35134;12.46802;12.43836
12.34992;12.46802;12.43727
12.34992;12.46751;12.43601
12.34933;12.46847;12.43305
12.34898;12.46767;12.43305
12.34893;12.46767;12.43231
12.34936;12.46681;12.43167
12.35007;12.46612;12.43199
12.35115;12.46541;12.43078
12.3531;12.46497;12.43157
12.35411;12.46497;12.42865
12.35491;12.46455;12.42865
12.35559;12.46502;12.42809
12.35643;12.46462;12.42762
12.35682;12.46475;12.42716
12.35688;12.46393;12.45291
12.35665;12.46393;12.45291
12.35694;12.46421;12.45376
12.35606;12.4639;12.60203
12.35606;12.46358;12.60298
12.35663;12.46395;12.59885
12.35635;12.46321;12.60006
12.35663;12.4632;12.60006
12.35663;12.46294;12.63186
12.35698;12.46266;12.63218
12.35702;12.46247;12.63252
12.35702;12.46317;12.63284
12.35724;12.46301;12.64741
12.35757;12.46358;12.64741
12.35757;12.46356;12.64887
12.35674;12.46354;12.65054
12.35674;12.46347;12.65084
12.35656;12.46397;12.65094
12.35648;12.46389;12.65094
12.35641;12.46392;12.64686
12.35669;12.46458;12.64702
12.35669;12.46446;12.64758
12.35615;12.46419;12.64819
12.35554;12.46469;12.64568
12.35471;12.46488;12.64568
12.35373;12.46488;12.64538
12.3532;12.4649;12.65916
12.35264;12.46495;12.65941
12.35264;12.46566;12.6574
12.35255;12.46558;12.65504
12.35249;12.4656;12.65504
12.35207;12.46574;12.65981
12.35133;12.4658;12.66593
12.35104;12.4658;12.66013
12.35104;12.46573;12.65391
12.35057;12.46572;12.64771
12.35012;12.46579;12.64592
12.34894;12.46579;12.64071
12.34894;12.46584;12.64695
12.34894;12.46585;12.64378
12.34853;12.46584;12.64378
12.34831;12.46534;12.63729
12.34817;12.46534;12.63729
12.34797;12.46517;12.63242
12.34801;12.46495;12.61807
12.34801;12.46469;12.62221
12.34801;12.46433;12.61627
12.34818;12.46392;12.61003
12.34839;12.46335;12.60394
12.34902;12.46292;12.60475
12.34969;12.4625;12.59867
12.3502;12.46163;12.59249
12.3502;12.46163;12.58589
12.35133;12.46116;12579
12.35209;12.46056;12579
12.35291;12.46009;12.56663
12.35291;12.45964;12.55971
12.35308;12.45883;12.55348
12.35372;12.45843;12.55338
12.35452;12.45843;12.54799
12.35464;12.45794;12.5432
12.35558;12.45769;12.53392
12.35651;12.45739;12.53282
12.35752;12.45735;12.52875
12.35851;12.45734;12.52433
12.35975;12.45738;12.51995
12.36145;12.45707;12.52128
12.36627;12.45707;12.5188
12.36903;12.45712;12.51653
12.36903;12.45679;12.51685
12.37204;12.45687;12.51551
12.37471;12.4569;12.5141
12.3796;12.45633;12.51362
12.3796;12.45633;12.51221
12.38241;12.45452;12.51221
12.38621;12.45161;12.51039
12.39051;12.44912;12.50976
12.3961;12.44912;12.50942
12.41101;12.44224;12.50802
12.41996;12.43813;12.50802
12.41996;12.43333;12.50804
12.42957;12.43333;12.50804
12.43953;12.42827;12.50752
12.45022;12.42287;12.50462
12.47312;12.41653;12.50335
12.48346;12.40902;12.50335
12.49453;12.38084;12.50094
12.50399;12.37141;12.49897
12.51299;12.36049;12.49663
12.52179;12.36049;12.49004
12.52995;12.33776;12.49004
12.5376;12.32738;12.48627
12.54582;12.31561;12.48267
12.55307;12.31561;12.47857
12.55983;12.3043;12.47394
12.56579;12.2797;12.45565
12.57543;12.2797;12.44751
12.58025;12.25399;12.44751
12.58025;12.25399;12.43879
12.58352;12.24191;12.42057
12.58604;12.23217;12.41102
12.59099;12.21104;12.40159
12.59099;12.20187;12.40159
12.59329;12.18445;12.3923
12.59532;12.18445;12.3743
12.59733;12.17649;12.36493
12.59929;12.16997;12.35572
12.60488;12.16419;12.35572
12.60488;12.15315;12.3398
12.60702;12.15315;12.33274
12.60846;12.14945;12.32615
12.60953;12.14301;12.31303
12.61124;12.14056;12.31303
12.61269;12.13843;12.30868
12.61269;12.13345;12.30476
12.61487;12.12716;12.30185
12.6158;12.12716;12.29626
12.61674;12.12606;12.29444
12.61772;12.12509;12.29282
12.61884;12.12255;12.29166
12.61977;12.12128;12.29068
12.61977;12.12128;12.28757
12.62018;12.12078;12.28757
12.62067;12.11832;12.2871
12.62202;12.11839;12.28666
12.62202;12.1189;12.28689
12.62277;12.1189;12.28676
12.62321;12.12042;12.28676
12.62375;12.12218;12.28692
12.62423;12.1264;12.28654
12.62485;12.13219;12.28615
12.62549;12.13831;12.28547
12.62606;12.1542;12.28417
12.62685;12.1639;12.28404
12.62758;12.1639;12.28404
12.62871;12.17469;12.28342
12.62997;12.19919;12.28277
12.62997;12.19919;12.28189
12.63075;12.22751;12.28163
12.63138;12.24263;12.28163
12.63194;12.24263;12.28106
12.63334;12.25795;12.28055
12.63334;12.28873;12.28014
12.63388;12.30406;12.27938
12.63428;12.31926;12.27848
12.63449;12.31926;12.27848
12.63465;12.33488;12.27675
12.63514;12.34947;12.27541
12.63514;12.36343;12.27218
12.63503;12.37731;12.27218
12.63497;12.41374;12.27108
12.63502;12.41374;12.2697
12.63505;12.42341;12.26843
12.63535;12.43171;12.26722
12.63535;12.44083;12.26603
12.63548;12.44726;12.26284
12.63555;12.45318;12.26185
