Question,1,2,3,4,5,N
Question 1,2,0,4,6,1,1
Question 2,4,3,3,2,1,1
Question 3,3,2,4,3,1,1
Question 4,2,7,2,2,0,1
Question 5,0,0,1,3,9,1
Question 6,2,0,4,6,1,1
