Question,1,2,3,4,5,N
Question 1,0,3,5,4,1,13
Question 2,1,3,2,6,1,13
Question 3,0,0,7,2,4,13
Question 4,1,7,1,3,1,13
Question 5,0,3,4,2,4,13
Question 6,0,2,2,5,4,13
